127.0.0.1, 2018-11-28 16:01:43, GET, /admin/default/design/campus_exchange, HTTP/1.1, 200, 0.279000
127.0.0.1, 2018-11-28 16:01:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:01:44, GET, /campus_exchange/appadmin/index, HTTP/1.1, 200, 0.223000
127.0.0.1, 2018-11-28 16:01:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 16:01:45, GET, /campus_exchange/appadmin/hooks, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-11-28 16:01:47, GET, /campus_exchange, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-11-28 16:01:48, GET, /campus_exchange/api/get_memos, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-11-28 16:01:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:01:51, GET, /campus_exchange/appadmin/select/db, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-11-28 16:01:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:02:35, GET, /campus_exchange/default/user/register, HTTP/1.1, 200, 0.056000
127.0.0.1, 2018-11-28 16:02:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 16:02:44, POST, /campus_exchange/default/user/register, HTTP/1.1, 303, 0.044000
127.0.0.1, 2018-11-28 16:02:44, GET, /campus_exchange/default/index, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-11-28 16:02:44, GET, /campus_exchange/api/get_memos, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-11-28 16:02:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 22:28:04, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2018-11-28 22:28:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.361000
127.0.0.1, 2018-11-28 22:28:04, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-11-28 22:28:24, GET, /admin, HTTP/1.1, 200, 0.346000
127.0.0.1, 2018-11-28 22:28:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 22:28:27, POST, /admin/default/index, HTTP/1.1, 303, 0.026000
127.0.0.1, 2018-11-28 22:28:27, GET, /admin/default/site, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-11-28 22:28:27, POST, /admin/default/check_version, HTTP/1.1, 200, 0.265000
127.0.0.1, 2018-11-28 22:28:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 22:29:02, GET, /admin, HTTP/1.1, 303, 0.012000
127.0.0.1, 2018-11-28 22:29:03, GET, /admin/default/site, HTTP/1.1, 200, 0.057000
